Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,CTR,CPC,SQL_format
1,Innovate Industries,Email,Men 18-24,30 days,Google Ads,0.04,16174,6.29,Chicago,Spanish,506,1922,6,Health & Wellness,01-01-2021,,,"(1,'Innovate Industries','Email','Men 18-24','30 days','Google Ads',0.04,16174,6.29,'Chicago','Spanish',506,1922,6,'Health & Wellness','2021-01-01',,)"
2,NexGen Systems,Email,Women 35-44,60 days,Google Ads,0.12,11566,5.61,New York,German,116,7523,7,Fashionistas,02-01-2021,26.33%,31.96,"(2,'NexGen Systems','Email','Women 35-44','60 days','Google Ads',0.12,11566,5.61,'New York','German',116,7523,7,'Fashionistas','2021-01-02',0.263267429760666,31.9644268774704)"
3,Alpha Innovations,Influencer,Men 25-34,30 days,YouTube,0.07,10200,7.18,Los Angeles,French,584,7698,1,Outdoor Adventurers,03-01-2021,1.54%,99.71,"(3,'Alpha Innovations','Influencer','Men 25-34','30 days','YouTube',0.07,10200,7.18,'Los Angeles','French',584,7698,1,'Outdoor Adventurers','2021-01-03',0.0154193805662635,99.7068965517241)"
4,DataTech Solutions,Display,All Ages,60 days,YouTube,0.11,12724,5.55,Miami,Mandarin,217,1820,7,Health & Wellness,04-01-2021,7.59%,17.47,"(4,'DataTech Solutions','Display','All Ages','60 days','YouTube',0.11,12724,5.55,'Miami','Mandarin',217,1820,7,'Health & Wellness','2021-01-04',0.0758638607430501,17.4657534246575)"
5,NexGen Systems,Email,Men 25-34,15 days,YouTube,0.05,16452,6.5,Los Angeles,Mandarin,379,4201,3,Health & Wellness,05-01-2021,11.92%,58.64,"(5,'NexGen Systems','Email','Men 25-34','15 days','YouTube',0.05,16452,6.5,'Los Angeles','Mandarin',379,4201,3,'Health & Wellness','2021-01-05',0.119230769230769,58.6359447004608)"
6,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,9716,4.36,New York,German,100,1643,1,Foodies,06-01-2021,9.02%,43.41,"(6,'DataTech Solutions','Display','All Ages','15 days','Instagram',0.07,9716,4.36,'New York','German',100,1643,1,'Foodies','2021-01-06',0.0902166150916448,43.4089709762533)"
7,NexGen Systems,Email,Women 35-44,60 days,Website,0.13,11067,2.86,Los Angeles,Spanish,817,8749,10,Tech Enthusiasts,07-01-2021,6.09%,97.16,"(7,'NexGen Systems','Email','Women 35-44','60 days','Website',0.13,11067,2.86,'Los Angeles','Spanish',817,8749,10,'Tech Enthusiasts','2021-01-07',0.0608642726719416,97.16)"
8,DataTech Solutions,Search,Men 18-24,45 days,Google Ads,0.08,13280,5.55,Los Angeles,Mandarin,624,7854,7,Outdoor Adventurers,08-01-2021,9.34%,13.55,"(8,'DataTech Solutions','Search','Men 18-24','45 days','Google Ads',0.08,13280,5.55,'Los Angeles','Mandarin',624,7854,7,'Outdoor Adventurers','2021-01-08',0.0933821008115213,13.5458996328029)"
9,Alpha Innovations,Social Media,Women 35-44,15 days,Facebook,0.09,18066,6.73,Chicago,German,861,1754,6,Tech Enthusiasts,09-01-2021,7.94%,21.28,"(9,'Alpha Innovations','Social Media','Women 35-44','15 days','Facebook',0.09,18066,6.73,'Chicago','German',861,1754,6,'Tech Enthusiasts','2021-01-09',0.079449961802903,21.2820512820513)"
10,TechCorp,Email,Women 35-44,15 days,Instagram,0.09,13766,3.78,Los Angeles,English,642,3856,3,Tech Enthusiasts,10-01-2021,49.09%,20.98,"(10,'TechCorp','Email','Women 35-44','15 days','Instagram',0.09,13766,3.78,'Los Angeles','English',642,3856,3,'Tech Enthusiasts','2021-01-10',0.490877993158495,20.9825783972125)"
11,NexGen Systems,Display,Men 25-34,45 days,Email,0.12,8590,3.49,New York,Spanish,321,6628,10,Tech Enthusiasts,11-01-2021,16.65%,21.44,"(11,'NexGen Systems','Display','Men 25-34','45 days','Email',0.12,8590,3.49,'New York','Spanish',321,6628,10,'Tech Enthusiasts','2021-01-11',0.16649377593361,21.4423676012461)"
12,Innovate Industries,Influencer,Men 25-34,60 days,Google Ads,0.05,17502,3.59,Los Angeles,Mandarin,659,8948,1,Foodies,12-01-2021,4.84%,26.76,"(12,'Innovate Industries','Influencer','Men 25-34','60 days','Google Ads',0.05,17502,3.59,'Los Angeles','Mandarin',659,8948,1,'Foodies','2021-01-12',0.0484308992154496,26.7601246105919)"
13,TechCorp,Social Media,Men 25-34,60 days,Facebook,0.09,17189,4.91,Chicago,Mandarin,677,8817,10,Tech Enthusiasts,13-01-2021,7.36%,26.56,"(13,'TechCorp','Social Media','Men 25-34','60 days','Facebook',0.09,17189,4.91,'Chicago','Mandarin',677,8817,10,'Tech Enthusiasts','2021-01-13',0.0736477425122933,26.5584218512898)"
14,TechCorp,Email,Men 25-34,45 days,Instagram,0.14,9975,7.06,New York,German,994,2201,4,Health & Wellness,14-01-2021,7.68%,25.39,"(14,'TechCorp','Email','Men 25-34','45 days','Instagram',0.14,9975,7.06,'New York','German',994,2201,4,'Health & Wellness','2021-01-14',0.0767834864466372,25.3899556868538)"
15,TechCorp,Display,All Ages,45 days,Website,0.04,11346,5.28,Chicago,Spanish,482,8470,1,Outdoor Adventurers,15-01-2021,45.16%,10.04,"(15,'TechCorp','Display','All Ages','45 days','Website',0.04,11346,5.28,'Chicago','Spanish',482,8470,1,'Outdoor Adventurers','2021-01-15',0.451612903225806,10.0352112676056)"
16,Innovate Industries,Social Media,Women 35-44,60 days,YouTube,0.11,9407,2.91,New York,German,299,1512,5,Health & Wellness,16-01-2021,5.69%,23.54,"(16,'Innovate Industries','Social Media','Women 35-44','60 days','YouTube',0.11,9407,2.91,'New York','German',299,1512,5,'Health & Wellness','2021-01-16',0.0569067296340024,23.5394190871369)"
17,Innovate Industries,Display,Women 35-44,45 days,Website,0.08,5478,4.53,Houston,English,931,2488,3,Fashionistas,17-01-2021,19.78%,31.46,"(17,'Innovate Industries','Display','Women 35-44','45 days','Website',0.08,5478,4.53,'Houston','English',931,2488,3,'Fashionistas','2021-01-17',0.197751322751323,31.4615384615385)"
18,Alpha Innovations,Influencer,Men 18-24,15 days,Instagram,0.14,9485,4.48,Miami,French,218,9264,9,Health & Wellness,18-01-2021,37.42%,5.88,"(18,'Alpha Innovations','Influencer','Men 18-24','15 days','Instagram',0.14,9485,4.48,'Miami','French',218,9264,9,'Health & Wellness','2021-01-18',0.3741961414791,5.88399570354458)"
19,Alpha Innovations,Social Media,Men 25-34,60 days,Google Ads,0.07,19224,6.08,New York,French,182,5798,1,Foodies,19-01-2021,2.35%,43.51,"(19,'Alpha Innovations','Social Media','Men 25-34','60 days','Google Ads',0.07,19224,6.08,'New York','French',182,5798,1,'Foodies','2021-01-19',0.0235319516407599,43.5091743119266)"
20,DataTech Solutions,Influencer,Men 25-34,15 days,Google Ads,0.09,10258,3.83,Miami,French,193,3677,1,Tech Enthusiasts,20-01-2021,3.14%,105.63,"(20,'DataTech Solutions','Influencer','Men 25-34','15 days','Google Ads',0.09,10258,3.83,'Miami','French',193,3677,1,'Tech Enthusiasts','2021-01-20',0.031390134529148,105.626373626374)"
21,DataTech Solutions,Search,Women 25-34,15 days,Email,0.04,16580,7.99,New York,Spanish,975,1561,3,Outdoor Adventurers,21-01-2021,5.25%,53.15,"(21,'DataTech Solutions','Search','Women 25-34','15 days','Email',0.04,16580,7.99,'New York','Spanish',975,1561,3,'Outdoor Adventurers','2021-01-21',0.0524884416644003,53.1502590673575)"
22,TechCorp,Influencer,All Ages,30 days,Facebook,0.02,12824,6.21,New York,French,319,8586,2,Foodies,22-01-2021,62.46%,17.01,"(22,'TechCorp','Influencer','All Ages','30 days','Facebook',0.02,12824,6.21,'New York','French',319,8586,2,'Foodies','2021-01-22',0.624599615631006,17.0051282051282)"
23,NexGen Systems,Social Media,Women 35-44,15 days,YouTube,0.13,8699,2.12,Miami,French,646,3841,5,Health & Wellness,23-01-2021,3.72%,40.2,"(23,'NexGen Systems','Social Media','Women 35-44','15 days','YouTube',0.13,8699,2.12,'Miami','French',646,3841,5,'Health & Wellness','2021-01-23',0.0371535057069648,40.2006269592476)"
24,Innovate Industries,Email,Women 25-34,15 days,Facebook,0.04,17608,7.31,Miami,Spanish,764,2157,8,Health & Wellness,24-01-2021,16.82%,13.47,"(24,'Innovate Industries','Email','Women 25-34','15 days','Facebook',0.04,17608,7.31,'Miami','Spanish',764,2157,8,'Health & Wellness','2021-01-24',0.168185368393647,13.4659442724458)"
25,NexGen Systems,Social Media,Men 18-24,60 days,YouTube,0.07,8773,6.03,Miami,Mandarin,527,1733,1,Fashionistas,25-01-2021,35.42%,23.05,"(25,'NexGen Systems','Social Media','Men 18-24','60 days','YouTube',0.07,8773,6.03,'Miami','Mandarin',527,1733,1,'Fashionistas','2021-01-25',0.354195642095503,23.0471204188482)"
26,NexGen Systems,Search,Women 25-34,45 days,Instagram,0.04,14756,6.23,Houston,English,809,8236,10,Health & Wellness,26-01-2021,30.41%,16.65,"(26,'NexGen Systems','Search','Women 25-34','45 days','Instagram',0.04,14756,6.23,'Houston','English',809,8236,10,'Health & Wellness','2021-01-26',0.304096941719561,16.6470588235294)"
